Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
10218;23.06.2005 11:55;37,8024;26,7716;7,5;Md;4
10214;20.06.2005 19:50;39,716;29,22;3,8;mb;4,2
10190;13.05.2005 22:30;37,9237;27,0745;1,3;Ml;4
10151;17.03.2005 05:01;37,77;26,81;14;mb;4,2
10120;29.01.2005 18:52;38,089;26,839;1,6;mb;4,3
10119;29.01.2005 14:48;38,217;29,6911;10;mb;4
10117;29.01.2005 11:35;38,2566;26,5813;22,7;Ml;4
10090;23.01.2005 20:54;36,91;27,85;15,9;mb;4,1
10086;20.01.2005 23:27;38,6559;27,166;16,1;Ml;4
10084;18.01.2005 17:27;36,9;27,71;12;mb;4,1
10082;14.01.2005 19:08;36,9332;28,353;16,8;mb;4,2
10079;13.01.2005 11:00;39,1868;27,7347;8,9;Ml;4,3
10078;12.01.2005 11:25;39,2015;27,7428;6,8;mb;4
10077;11.01.2005 09:18;36,9197;27,7844;22,6;mb;4
10076;11.01.2005 04:36;36,912;27,845;34;Mw;5
10075;11.01.2005 00:02;36,8892;27,8829;24;mb;4
10073;10.01.2005 23:48;36,867;27,888;32,1;Mw;5,4
10061;28.12.2004 20:34;37,01;28,303;13,7;mb;4,5
10060;28.12.2004 15:37;37,0349;28,2373;19,4;mb;4,2
10056;21.12.2004 00:23;36,9642;28,2824;42;mb;4,1
10055;20.12.2004 23:02;36,95;28,345;28,3;Mw;5,3
10050;2.12.2004 15:51;39,2644;27,9677;11;mb;4,4
10033;5.11.2004 17:30;39,2144;27,7715;13;mb;4,5
10031;28.10.2004 17:15;38,9407;26,6483;6,3;Ml;4
10024;8.10.2004 13:53;37,66;26,66;5;mb;4,1
10006;16.09.2004 01:40;37,6969;29,2057;11,7;mb;4,3
10000;5.09.2004 11:18;36,9147;27,7292;19;mb;4
9999;3.09.2004 11:21;36,9584;27,8238;16,7;mb;4,1
9980;5.08.2004 10:30;36,927;27,795;13,5;mb;4,1
9979;5.08.2004 07:13;36,901;27,7528;18;mb;4
9978;4.08.2004 15:59;36,906;27,813;10;mb;4
9977;4.08.2004 14:18;36,886;27,78;24,2;Mw;5,3
9976;4.08.2004 05:46;36,921;27,826;10,1;mb;4,2
9975;4.08.2004 04:26;36,883;27,775;16,5;mb;4,3
9974;4.08.2004 04:19;36,877;27,802;12;Mw;5,2
9972;4.08.2004 03:49;36,8832;27,7908;18,6;mb;4,5
9970;3.08.2004 14:58;36,9009;27,7012;9,9;mb;4
9969;3.08.2004 14:17;36,935;27,729;11,9;mb;4
9967;3.08.2004 13:11;36,888;27,777;22,8;Mw;5,2
9966;3.08.2004 09:41;36,871;27,792;10,3;mb;4,1
9939;3.07.2004 18:36;36,8974;27,7394;18,7;mb;4,1
9933;26.06.2004 18:24;37,2267;28,283;10;mb;4,1
9924;9.06.2004 03:15;38,385;30,25;17,6;mb;4,1
9908;14.05.2004 16:34;37,5128;29,7105;15;mb;4,3
9879;24.03.2004 04:38;38,848;26,775;25;mb;4,1
9868;19.02.2004 04:09;36,957;28,69;9,8;mb;4,1
9834;23.12.2003 13:07;39,8762;29,2787;9;mb;4,1
9833;23.12.2003 12:23;39,88;29,265;8,8;mb;4,6
9830;16.12.2003 10:41;38,932;26,728;23,6;mb;4,2
9808;5.11.2003 07:56;37,2863;28,0467;8,9;Md;4,1
9805;27.10.2003 03:05;37,2374;28,2015;6,8;mb;4,1
